Month,Paper High Side
2017-10-01,710
2017-11-01,710
2017-12-01,710
2018-01-01,710
2018-02-01,710
2018-03-01,760
2018-04-01,760
2018-05-01,760
2018-06-01,760
2018-07-01,760
2018-08-01,760
2018-09-01,760
2018-10-01,760
2018-11-01,760
2018-12-01,760
2019-01-01,760
2019-02-01,760
2019-03-01,750
2019-04-01,750
2019-05-01,740
2019-06-01,730
2019-07-01,730
2019-08-01,730
2019-09-01,730
2019-10-01,730
2019-11-01,730
2019-12-01,730
2020-01-01,720
2020-02-01,720
2020-03-01,720
2020-04-01,720
2020-05-01,720
2020-06-01,720
2020-07-01,720
2020-08-01,720
2020-09-01,720
2020-10-01,720
2020-11-01,770
2020-12-01,770
2021-01-01,770
2021-02-01,770
2021-03-01,800
2021-04-01,830
2021-05-01,830
2021-06-01,830
2021-07-01,830
2021-08-01,880
2021-09-01,880
2021-10-01,880
2021-11-01,880
2021-12-01,880
2022-01-01,880
2022-02-01,880
2022-03-01,940
2022-04-01,940
2022-05-01,940
2022-06-01,940
2022-07-01,940
2022-08-01,940
2022-09-01,940
2022-10-01,940
2022-11-01,920
2022-12-01,900
2023-01-01,890
2023-02-01,870
2023-03-01,870
2023-04-01,870
2023-05-01,850
2023-06-01,850
2023-07-01,850
2023-08-01,850
2023-09-01,850
2023-10-01,850
2023-11-01,830
2023-12-01,830
2024-01-01,830
